Resume,Job Description,Similarity Score
"Cybersecurity Analyst skilled in linux, encryption, network security, python.","Mobile App Developer skilled in android, swift, kotlin, react native.",0.613955
"Cloud Engineer skilled in aws, terraform, cloud computing, azure.","Frontend Developer skilled in html, javascript, css, react.",0.57373
"UX Designer skilled in prototyping, user research, figma, wireframing.","Machine Learning Engineer skilled in python, pytorch, model deployment, tensorflow.",0.650432
"Full Stack Developer skilled in react, node.js, python, javascript.","AI Engineer skilled in tensorflow, nlp, deep learning, python.",0.586414
"QA Engineer skilled in python, automation testing, test planning, selenium.","Cybersecurity Analyst skilled in network security, encryption, linux, python.",0.603922
"Frontend Developer skilled in react, css, html, javascript.","Product Manager skilled in agile, roadmap planning, data analysis, scrum.",0.657998
"UX Designer skilled in figma, user research, prototyping, wireframing.","Machine Learning Engineer skilled in tensorflow, python, model deployment, pytorch.",0.551933
"Backend Developer skilled in sql, python, node.js, rest api.","Full Stack Developer skilled in python, javascript, node.js, react.",0.838184
"AI Engineer skilled in python, nlp, deep learning, tensorflow.","Network Engineer skilled in firewalls, routing, switching, tcp/ip.",0.605452
"UX Designer skilled in user research, wireframing, figma, prototyping.","UX Designer skilled in prototyping, figma, user research, wireframing.",0.842846
"UX Designer skilled in user research, prototyping, wireframing, figma.","Cloud Engineer skilled in cloud computing, terraform, azure, aws.",0.645632
"QA Engineer skilled in python, selenium, automation testing, test planning.","IT Support Specialist skilled in windows, vpn, troubleshooting, helpdesk.",0.65098
"Cloud Engineer skilled in cloud computing, azure, aws, terraform.","Full Stack Developer skilled in python, javascript, node.js, react.",0.589751
"DevOps Engineer skilled in aws, ci/cd, kubernetes, docker.","Backend Developer skilled in sql, rest api, python, node.js.",0.685619
"DevOps Engineer skilled in aws, kubernetes, ci/cd, docker.","Database Administrator skilled in backup, performance tuning, oracle, sql.",0.579542
"Backend Developer skilled in node.js, sql, rest api, python.","Data Scientist skilled in sql, machine learning, python, statistics.",0.714445
"Full Stack Developer skilled in javascript, python, node.js, react.","Software Engineer skilled in java, oop, python, c++.",0.703939
"Mobile App Developer skilled in react native, android, kotlin, swift.","Machine Learning Engineer skilled in model deployment, pytorch, python, tensorflow.",0.629393
"IT Support Specialist skilled in helpdesk, vpn, windows, troubleshooting.","Frontend Developer skilled in javascript, css, react, html.",0.657424
"Software Engineer skilled in java, python, oop, c++.","Cybersecurity Analyst skilled in network security, python, linux, encryption.",0.666136
"Full Stack Developer skilled in react, python, node.js, javascript.","Product Manager skilled in scrum, roadmap planning, data analysis, agile.",0.555059
"Network Engineer skilled in tcp/ip, switching, routing, firewalls.","IT Support Specialist skilled in windows, vpn, troubleshooting, helpdesk.",0.570527
"DevOps Engineer skilled in docker, aws, kubernetes, ci/cd.","Cloud Engineer skilled in cloud computing, terraform, aws, azure.",0.706998
"Full Stack Developer skilled in python, react, node.js, javascript.","Data Engineer skilled in spark, etl, hadoop, airflow.",0.625419
"Full Stack Developer skilled in javascript, react, python, node.js.","Mobile App Developer skilled in android, swift, react native, kotlin.",0.710267
"QA Engineer skilled in selenium, test planning, automation testing, python.","Product Manager skilled in roadmap planning, agile, scrum, data analysis.",0.61586
"Network Engineer skilled in routing, tcp/ip, switching, firewalls.","System Administrator skilled in bash scripting, networking, vmware, linux.",0.640357
"Frontend Developer skilled in react, javascript, html, css.","Business Analyst skilled in sql, uml, data analysis, requirements gathering.",0.64993
"Full Stack Developer skilled in react, javascript, python, node.js.","Data Engineer skilled in etl, spark, hadoop, airflow.",0.563223
"Cloud Engineer skilled in azure, terraform, aws, cloud computing.","Data Engineer skilled in airflow, spark, hadoop, etl.",0.728859
"Cybersecurity Analyst skilled in python, network security, linux, encryption.","UX Designer skilled in figma, prototyping, user research, wireframing.",0.576058
"Mobile App Developer skilled in android, swift, react native, kotlin.","UX Designer skilled in figma, prototyping, user research, wireframing.",0.637556
"Business Analyst skilled in data analysis, requirements gathering, uml, sql.","Frontend Developer skilled in javascript, css, react, html.",0.649596
"Cybersecurity Analyst skilled in network security, linux, encryption, python.","DevOps Engineer skilled in docker, aws, ci/cd, kubernetes.",0.693852
"AI Engineer skilled in nlp, deep learning, tensorflow, python.","QA Engineer skilled in python, automation testing, test planning, selenium.",0.695489
"Data Scientist skilled in python, sql, statistics, machine learning.","IT Support Specialist skilled in helpdesk, vpn, windows, troubleshooting.",0.631772
"QA Engineer skilled in selenium, test planning, automation testing, python.","DevOps Engineer skilled in kubernetes, ci/cd, aws, docker.",0.712594
"Backend Developer skilled in sql, python, rest api, node.js.","Software Engineer skilled in java, c++, python, oop.",0.648339
"Product Manager skilled in data analysis, roadmap planning, scrum, agile.","Full Stack Developer skilled in python, javascript, react, node.js.",0.590993
"Data Scientist skilled in python, machine learning, sql, statistics.","Cybersecurity Analyst skilled in python, linux, network security, encryption.",0.705037
"UX Designer skilled in figma, wireframing, prototyping, user research.","Data Scientist skilled in machine learning, python, statistics, sql.",0.616811
"IT Support Specialist skilled in troubleshooting, helpdesk, vpn, windows.","Data Engineer skilled in hadoop, etl, spark, airflow.",0.584787
"Data Scientist skilled in sql, python, machine learning, statistics.","Mobile App Developer skilled in kotlin, swift, android, react native.",0.603511
"UX Designer skilled in wireframing, prototyping, user research, figma.","AI Engineer skilled in deep learning, nlp, tensorflow, python.",0.606229
"AI Engineer skilled in deep learning, python, nlp, tensorflow.","Full Stack Developer skilled in javascript, node.js, react, python.",0.618067
"Database Administrator skilled in performance tuning, sql, oracle, backup.","UX Designer skilled in prototyping, figma, wireframing, user research.",0.671397
"Frontend Developer skilled in html, react, javascript, css.","Machine Learning Engineer skilled in model deployment, tensorflow, python, pytorch.",0.694539
"DevOps Engineer skilled in ci/cd, aws, docker, kubernetes.","Data Scientist skilled in sql, statistics, python, machine learning.",0.689946
"Business Analyst skilled in uml, sql, requirements gathering, data analysis.","DevOps Engineer skilled in aws, ci/cd, docker, kubernetes.",0.653243
"Backend Developer skilled in sql, node.js, rest api, python.","Software Engineer skilled in oop, java, python, c++.",0.661684
"QA Engineer skilled in automation testing, test planning, selenium, python.","Frontend Developer skilled in javascript, react, html, css.",0.573256
"Business Analyst skilled in uml, sql, requirements gathering, data analysis.","System Administrator skilled in linux, bash scripting, networking, vmware.",0.651853
"AI Engineer skilled in python, nlp, deep learning, tensorflow.","Frontend Developer skilled in javascript, html, css, react.",0.596091
"UX Designer skilled in prototyping, user research, figma, wireframing.","IT Support Specialist skilled in helpdesk, vpn, troubleshooting, windows.",0.607606
"Database Administrator skilled in oracle, sql, backup, performance tuning.","Backend Developer skilled in node.js, python, rest api, sql.",0.664398
"Frontend Developer skilled in javascript, css, html, react.","IT Support Specialist skilled in troubleshooting, windows, helpdesk, vpn.",0.572733
"QA Engineer skilled in test planning, python, automation testing, selenium.","UX Designer skilled in user research, prototyping, wireframing, figma.",0.558719
"DevOps Engineer skilled in aws, ci/cd, docker, kubernetes.","Mobile App Developer skilled in swift, android, react native, kotlin.",0.652729
"Network Engineer skilled in routing, firewalls, tcp/ip, switching.","Data Engineer skilled in spark, hadoop, airflow, etl.",0.684034
"Software Engineer skilled in oop, java, c++, python.","IT Support Specialist skilled in vpn, troubleshooting, helpdesk, windows.",0.591243
"Full Stack Developer skilled in react, javascript, python, node.js.","QA Engineer skilled in python, test planning, selenium, automation testing.",0.715942
"Cloud Engineer skilled in cloud computing, terraform, aws, azure.","Cloud Engineer skilled in cloud computing, azure, aws, terraform.",0.865265
"Full Stack Developer skilled in node.js, react, python, javascript.","Business Analyst skilled in uml, requirements gathering, data analysis, sql.",0.575768
"DevOps Engineer skilled in ci/cd, docker, kubernetes, aws.","QA Engineer skilled in automation testing, selenium, test planning, python.",0.695735
"Software Engineer skilled in c++, python, java, oop.","Machine Learning Engineer skilled in model deployment, python, pytorch, tensorflow.",0.665245
"Data Scientist skilled in statistics, python, machine learning, sql.","UX Designer skilled in user research, prototyping, figma, wireframing.",0.60858
"AI Engineer skilled in python, tensorflow, deep learning, nlp.","Cybersecurity Analyst skilled in linux, network security, python, encryption.",0.609679
"Mobile App Developer skilled in android, kotlin, react native, swift.","AI Engineer skilled in python, nlp, tensorflow, deep learning.",0.652491
"Business Analyst skilled in data analysis, requirements gathering, uml, sql.","Software Engineer skilled in java, python, oop, c++.",0.641342
"AI Engineer skilled in nlp, python, tensorflow, deep learning.","Database Administrator skilled in performance tuning, oracle, sql, backup.",0.693748
"Backend Developer skilled in rest api, sql, node.js, python.","QA Engineer skilled in selenium, automation testing, test planning, python.",0.676555
"Mobile App Developer skilled in swift, android, react native, kotlin.","Backend Developer skilled in node.js, sql, rest api, python.",0.623608
"System Administrator skilled in networking, bash scripting, linux, vmware.","System Administrator skilled in vmware, bash scripting, networking, linux.",0.817393
"Software Engineer skilled in python, c++, java, oop.","QA Engineer skilled in automation testing, selenium, python, test planning.",0.669887
"Data Scientist skilled in sql, python, machine learning, statistics.","Frontend Developer skilled in javascript, css, html, react.",0.567511
"Business Analyst skilled in requirements gathering, data analysis, sql, uml.","Data Engineer skilled in spark, etl, hadoop, airflow.",0.721778
"Full Stack Developer skilled in node.js, javascript, react, python.","Cybersecurity Analyst skilled in encryption, network security, python, linux.",0.579112
"Data Scientist skilled in machine learning, statistics, sql, python.","Backend Developer skilled in rest api, node.js, python, sql.",0.594122
"Data Engineer skilled in hadoop, airflow, spark, etl.","System Administrator skilled in vmware, linux, networking, bash scripting.",0.696555
"QA Engineer skilled in automation testing, selenium, python, test planning.","UX Designer skilled in figma, prototyping, user research, wireframing.",0.682909
"Product Manager skilled in scrum, roadmap planning, agile, data analysis.","Mobile App Developer skilled in kotlin, react native, swift, android.",0.584556
"Machine Learning Engineer skilled in model deployment, tensorflow, python, pytorch.","QA Engineer skilled in selenium, python, automation testing, test planning.",0.795008
"DevOps Engineer skilled in aws, docker, ci/cd, kubernetes.","Cybersecurity Analyst skilled in python, linux, encryption, network security.",0.604122
"Backend Developer skilled in rest api, node.js, sql, python.","DevOps Engineer skilled in ci/cd, docker, aws, kubernetes.",0.604347
"Full Stack Developer skilled in react, python, javascript, node.js.","Machine Learning Engineer skilled in tensorflow, model deployment, pytorch, python.",0.619173
"Backend Developer skilled in sql, python, rest api, node.js.","Product Manager skilled in data analysis, scrum, agile, roadmap planning.",0.676829
"Full Stack Developer skilled in react, python, javascript, node.js.","Frontend Developer skilled in javascript, css, html, react.",0.703901
"Cloud Engineer skilled in azure, aws, terraform, cloud computing.","System Administrator skilled in vmware, bash scripting, linux, networking.",0.675118
"IT Support Specialist skilled in vpn, troubleshooting, windows, helpdesk.","System Administrator skilled in networking, linux, bash scripting, vmware.",0.581607
"Data Scientist skilled in python, machine learning, statistics, sql.","Business Analyst skilled in uml, sql, data analysis, requirements gathering.",0.602427
"IT Support Specialist skilled in helpdesk, vpn, windows, troubleshooting.","Backend Developer skilled in sql, python, rest api, node.js.",0.603648
"Product Manager skilled in scrum, roadmap planning, agile, data analysis.","Network Engineer skilled in switching, tcp/ip, firewalls, routing.",0.696462
"AI Engineer skilled in python, nlp, tensorflow, deep learning.","Full Stack Developer skilled in python, javascript, react, node.js.",0.679563
"Database Administrator skilled in oracle, sql, performance tuning, backup.","Machine Learning Engineer skilled in model deployment, tensorflow, python, pytorch.",0.61539
"Full Stack Developer skilled in react, python, javascript, node.js.","QA Engineer skilled in selenium, test planning, automation testing, python.",0.696719
"IT Support Specialist skilled in troubleshooting, vpn, windows, helpdesk.","Database Administrator skilled in backup, performance tuning, sql, oracle.",0.58897
"Network Engineer skilled in firewalls, routing, tcp/ip, switching.","Mobile App Developer skilled in android, kotlin, react native, swift.",0.696557
"Software Engineer skilled in java, python, c++, oop.","Backend Developer skilled in rest api, python, node.js, sql.",0.626779
"Network Engineer skilled in firewalls, routing, tcp/ip, switching.","Data Scientist skilled in machine learning, sql, python, statistics.",0.657375
"Frontend Developer skilled in javascript, html, react, css.","Network Engineer skilled in firewalls, tcp/ip, switching, routing.",0.625713
"AI Engineer skilled in nlp, deep learning, tensorflow, python.","DevOps Engineer skilled in ci/cd, docker, aws, kubernetes.",0.730479
"DevOps Engineer skilled in ci/cd, kubernetes, aws, docker.","Database Administrator skilled in performance tuning, backup, sql, oracle.",0.597999
"Database Administrator skilled in sql, backup, oracle, performance tuning.","System Administrator skilled in vmware, networking, linux, bash scripting.",0.618173
"Data Scientist skilled in machine learning, python, sql, statistics.","Data Scientist skilled in sql, python, machine learning, statistics.",1.016867
"Network Engineer skilled in routing, firewalls, switching, tcp/ip.","Network Engineer skilled in switching, firewalls, routing, tcp/ip.",0.875346
"AI Engineer skilled in tensorflow, deep learning, python, nlp.","QA Engineer skilled in automation testing, python, test planning, selenium.",0.677813
"QA Engineer skilled in selenium, python, test planning, automation testing.","Product Manager skilled in data analysis, scrum, agile, roadmap planning.",0.695934
"Database Administrator skilled in sql, oracle, performance tuning, backup.","Product Manager skilled in data analysis, agile, roadmap planning, scrum.",0.682279
"Network Engineer skilled in firewalls, routing, tcp/ip, switching.","QA Engineer skilled in python, automation testing, selenium, test planning.",0.648445
"Data Engineer skilled in spark, airflow, etl, hadoop.","AI Engineer skilled in tensorflow, python, nlp, deep learning.",0.626605
"Mobile App Developer skilled in react native, swift, android, kotlin.","Mobile App Developer skilled in android, react native, swift, kotlin.",1.057005
"Cybersecurity Analyst skilled in python, linux, network security, encryption.","Data Scientist skilled in machine learning, sql, statistics, python.",0.645656
"Network Engineer skilled in switching, firewalls, tcp/ip, routing.","Software Engineer skilled in python, oop, java, c++.",0.640395
"Business Analyst skilled in sql, uml, requirements gathering, data analysis.","Full Stack Developer skilled in node.js, javascript, react, python.",0.629152
"Cloud Engineer skilled in azure, cloud computing, terraform, aws.","QA Engineer skilled in test planning, python, automation testing, selenium.",0.702407
"AI Engineer skilled in deep learning, tensorflow, python, nlp.","Machine Learning Engineer skilled in tensorflow, model deployment, python, pytorch.",0.81538
"Network Engineer skilled in firewalls, routing, tcp/ip, switching.","Software Engineer skilled in python, oop, c++, java.",0.680168
"Machine Learning Engineer skilled in pytorch, model deployment, python, tensorflow.","Backend Developer skilled in node.js, python, sql, rest api.",0.697315
"UX Designer skilled in wireframing, figma, prototyping, user research.","Business Analyst skilled in sql, requirements gathering, uml, data analysis.",0.624555
"Database Administrator skilled in performance tuning, backup, oracle, sql.","Data Engineer skilled in hadoop, etl, airflow, spark.",0.602784
"Network Engineer skilled in switching, tcp/ip, firewalls, routing.","Product Manager skilled in scrum, roadmap planning, agile, data analysis.",0.624672
"Full Stack Developer skilled in node.js, python, react, javascript.","System Administrator skilled in networking, vmware, bash scripting, linux.",0.621569
"Cybersecurity Analyst skilled in encryption, python, linux, network security.","Backend Developer skilled in rest api, node.js, python, sql.",0.611851
"Full Stack Developer skilled in react, python, node.js, javascript.","Database Administrator skilled in performance tuning, sql, oracle, backup.",0.571455
"System Administrator skilled in vmware, bash scripting, linux, networking.","Full Stack Developer skilled in python, javascript, react, node.js.",0.59187
"Mobile App Developer skilled in kotlin, android, react native, swift.","Database Administrator skilled in oracle, performance tuning, backup, sql.",0.555592
"Software Engineer skilled in python, c++, java, oop.","Business Analyst skilled in sql, uml, data analysis, requirements gathering.",0.677339
"System Administrator skilled in linux, vmware, networking, bash scripting.","Cybersecurity Analyst skilled in encryption, linux, network security, python.",0.686708
"AI Engineer skilled in tensorflow, deep learning, python, nlp.","DevOps Engineer skilled in aws, docker, kubernetes, ci/cd.",0.69358
"Data Scientist skilled in python, sql, machine learning, statistics.","Backend Developer skilled in rest api, node.js, sql, python.",0.692092
"Frontend Developer skilled in javascript, css, html, react.","AI Engineer skilled in tensorflow, python, deep learning, nlp.",0.66626
"Network Engineer skilled in routing, switching, firewalls, tcp/ip.","IT Support Specialist skilled in helpdesk, vpn, windows, troubleshooting.",0.610138
"Network Engineer skilled in switching, firewalls, routing, tcp/ip.","Frontend Developer skilled in css, javascript, html, react.",0.556701
"Full Stack Developer skilled in react, node.js, python, javascript.","Database Administrator skilled in oracle, performance tuning, sql, backup.",0.677522
"Full Stack Developer skilled in javascript, python, node.js, react.","QA Engineer skilled in test planning, selenium, automation testing, python.",0.62444
"Business Analyst skilled in data analysis, requirements gathering, uml, sql.","Cybersecurity Analyst skilled in python, network security, encryption, linux.",0.740734
"UX Designer skilled in user research, figma, wireframing, prototyping.","Data Engineer skilled in etl, airflow, spark, hadoop.",0.699078
"Data Scientist skilled in python, machine learning, statistics, sql.","DevOps Engineer skilled in ci/cd, docker, kubernetes, aws.",0.57227
"Data Engineer skilled in etl, hadoop, airflow, spark.","Product Manager skilled in agile, scrum, roadmap planning, data analysis.",0.723207
"QA Engineer skilled in test planning, selenium, python, automation testing.","System Administrator skilled in networking, linux, bash scripting, vmware.",0.660772
"AI Engineer skilled in python, deep learning, tensorflow, nlp.","Mobile App Developer skilled in android, swift, kotlin, react native.",0.692878
"Software Engineer skilled in c++, java, python, oop.","Database Administrator skilled in performance tuning, sql, oracle, backup.",0.657251
"Mobile App Developer skilled in kotlin, android, react native, swift.","Backend Developer skilled in python, rest api, node.js, sql.",0.608448
"System Administrator skilled in networking, bash scripting, linux, vmware.","UX Designer skilled in user research, prototyping, wireframing, figma.",0.647195
"Software Engineer skilled in python, oop, java, c++.","Backend Developer skilled in python, rest api, node.js, sql.",0.689545
"Frontend Developer skilled in react, html, javascript, css.","Business Analyst skilled in data analysis, uml, sql, requirements gathering.",0.597194
"IT Support Specialist skilled in troubleshooting, helpdesk, vpn, windows.","Machine Learning Engineer skilled in pytorch, tensorflow, python, model deployment.",0.670041
"Business Analyst skilled in uml, data analysis, requirements gathering, sql.","Cloud Engineer skilled in cloud computing, azure, terraform, aws.",0.680167
"Software Engineer skilled in oop, python, c++, java.","DevOps Engineer skilled in aws, docker, ci/cd, kubernetes.",0.605814
"Database Administrator skilled in oracle, sql, performance tuning, backup.","DevOps Engineer skilled in aws, docker, ci/cd, kubernetes.",0.607495
"UX Designer skilled in wireframing, figma, user research, prototyping.","Data Engineer skilled in airflow, etl, spark, hadoop.",0.64444
"Business Analyst skilled in uml, requirements gathering, sql, data analysis.","Cloud Engineer skilled in azure, aws, terraform, cloud computing.",0.558346
"QA Engineer skilled in python, automation testing, selenium, test planning.","QA Engineer skilled in automation testing, python, test planning, selenium.",0.904235
"AI Engineer skilled in nlp, python, tensorflow, deep learning.","QA Engineer skilled in automation testing, python, test planning, selenium.",0.759902
"Business Analyst skilled in requirements gathering, data analysis, sql, uml.","Database Administrator skilled in backup, performance tuning, oracle, sql.",0.645453
"Cloud Engineer skilled in aws, azure, terraform, cloud computing.","Data Engineer skilled in spark, hadoop, etl, airflow.",0.722867
"Data Scientist skilled in statistics, python, machine learning, sql.","Cybersecurity Analyst skilled in python, network security, encryption, linux.",0.640282
"Backend Developer skilled in sql, node.js, rest api, python.","Full Stack Developer skilled in javascript, react, node.js, python.",0.788963
"Mobile App Developer skilled in swift, react native, android, kotlin.","UX Designer skilled in prototyping, user research, figma, wireframing.",0.587649
"IT Support Specialist skilled in troubleshooting, vpn, windows, helpdesk.","System Administrator skilled in networking, bash scripting, vmware, linux.",0.618677
"IT Support Specialist skilled in vpn, troubleshooting, windows, helpdesk.","Network Engineer skilled in firewalls, tcp/ip, switching, routing.",0.571283
"Frontend Developer skilled in css, html, javascript, react.","Business Analyst skilled in requirements gathering, data analysis, uml, sql.",0.620077
"Machine Learning Engineer skilled in pytorch, tensorflow, model deployment, python.","Network Engineer skilled in switching, firewalls, tcp/ip, routing.",0.660404
"QA Engineer skilled in test planning, automation testing, python, selenium.","Data Scientist skilled in machine learning, python, statistics, sql.",0.629077
"Business Analyst skilled in data analysis, uml, sql, requirements gathering.","IT Support Specialist skilled in windows, vpn, helpdesk, troubleshooting.",0.627966
"Database Administrator skilled in performance tuning, backup, sql, oracle.","Full Stack Developer skilled in react, javascript, python, node.js.",0.666547
"Machine Learning Engineer skilled in python, pytorch, tensorflow, model deployment.","UX Designer skilled in figma, prototyping, user research, wireframing.",0.59173
"Data Engineer skilled in airflow, etl, spark, hadoop.","Data Scientist skilled in python, machine learning, statistics, sql.",0.71067
"Mobile App Developer skilled in react native, android, kotlin, swift.","Machine Learning Engineer skilled in pytorch, tensorflow, python, model deployment.",0.679844
"Product Manager skilled in scrum, data analysis, roadmap planning, agile.","AI Engineer skilled in nlp, tensorflow, deep learning, python.",0.56749
"Product Manager skilled in agile, roadmap planning, scrum, data analysis.","Product Manager skilled in roadmap planning, data analysis, scrum, agile.",0.958284
"QA Engineer skilled in test planning, python, selenium, automation testing.","Database Administrator skilled in oracle, sql, performance tuning, backup.",0.588233
"QA Engineer skilled in test planning, selenium, python, automation testing.","IT Support Specialist skilled in helpdesk, windows, vpn, troubleshooting.",0.692017
"QA Engineer skilled in python, automation testing, selenium, test planning.","Backend Developer skilled in rest api, sql, node.js, python.",0.558242
"Network Engineer skilled in switching, firewalls, routing, tcp/ip.","System Administrator skilled in networking, vmware, bash scripting, linux.",0.581025
"AI Engineer skilled in nlp, tensorflow, deep learning, python.","Machine Learning Engineer skilled in model deployment, python, tensorflow, pytorch.",0.657892
"Mobile App Developer skilled in react native, kotlin, swift, android.","UX Designer skilled in wireframing, user research, prototyping, figma.",0.68376
"System Administrator skilled in networking, bash scripting, vmware, linux.","Data Engineer skilled in spark, hadoop, etl, airflow.",0.603277
"AI Engineer skilled in deep learning, python, tensorflow, nlp.","System Administrator skilled in vmware, networking, bash scripting, linux.",0.551328
"Data Engineer skilled in airflow, spark, hadoop, etl.","QA Engineer skilled in test planning, automation testing, python, selenium.",0.68059
"Data Scientist skilled in statistics, machine learning, python, sql.","Backend Developer skilled in sql, python, rest api, node.js.",0.621852
"Backend Developer skilled in sql, rest api, node.js, python.","Cloud Engineer skilled in cloud computing, azure, terraform, aws.",0.68093
"Cloud Engineer skilled in azure, aws, terraform, cloud computing.","DevOps Engineer skilled in ci/cd, docker, aws, kubernetes.",0.784283
"System Administrator skilled in networking, vmware, linux, bash scripting.","Data Scientist skilled in python, sql, statistics, machine learning.",0.617624
"Frontend Developer skilled in javascript, html, react, css.","Product Manager skilled in roadmap planning, agile, data analysis, scrum.",0.644011
"AI Engineer skilled in python, nlp, tensorflow, deep learning.","Cloud Engineer skilled in cloud computing, terraform, aws, azure.",0.647572
"Frontend Developer skilled in react, html, javascript, css.","Full Stack Developer skilled in python, javascript, node.js, react.",0.677035
"IT Support Specialist skilled in vpn, troubleshooting, helpdesk, windows.","Business Analyst skilled in requirements gathering, data analysis, uml, sql.",0.606197
"Backend Developer skilled in node.js, rest api, python, sql.","QA Engineer skilled in python, automation testing, selenium, test planning.",0.637369
"Network Engineer skilled in firewalls, tcp/ip, switching, routing.","Cloud Engineer skilled in aws, cloud computing, terraform, azure.",0.708961
"DevOps Engineer skilled in kubernetes, ci/cd, docker, aws.","Backend Developer skilled in rest api, python, sql, node.js.",0.690962
"Frontend Developer skilled in css, html, javascript, react.","System Administrator skilled in bash scripting, networking, vmware, linux.",0.652135
"Backend Developer skilled in python, sql, node.js, rest api.","Business Analyst skilled in uml, data analysis, requirements gathering, sql.",0.603835
"Machine Learning Engineer skilled in python, tensorflow, model deployment, pytorch.","Cloud Engineer skilled in terraform, aws, azure, cloud computing.",0.688262
"Full Stack Developer skilled in react, javascript, python, node.js.","Backend Developer skilled in python, node.js, rest api, sql.",0.732134
"Cybersecurity Analyst skilled in encryption, python, network security, linux.","Software Engineer skilled in oop, c++, java, python.",0.6954
"Business Analyst skilled in data analysis, sql, uml, requirements gathering.","Cloud Engineer skilled in terraform, aws, cloud computing, azure.",0.560387
"Data Engineer skilled in etl, hadoop, spark, airflow.","Software Engineer skilled in oop, c++, java, python.",0.742717
"Database Administrator skilled in performance tuning, sql, backup, oracle.","Business Analyst skilled in uml, data analysis, requirements gathering, sql.",0.683003
"Software Engineer skilled in python, java, oop, c++.","UX Designer skilled in prototyping, figma, wireframing, user research.",0.626229
"Data Scientist skilled in python, statistics, machine learning, sql.","IT Support Specialist skilled in vpn, helpdesk, windows, troubleshooting.",0.638437
"Full Stack Developer skilled in react, javascript, python, node.js.","Software Engineer skilled in java, c++, oop, python.",0.586548
"UX Designer skilled in prototyping, wireframing, user research, figma.","Data Scientist skilled in machine learning, python, sql, statistics.",0.634238
"UX Designer skilled in prototyping, wireframing, user research, figma.","Network Engineer skilled in switching, routing, tcp/ip, firewalls.",0.65372
"UX Designer skilled in wireframing, prototyping, user research, figma.","DevOps Engineer skilled in ci/cd, docker, kubernetes, aws.",0.620559
"Data Engineer skilled in spark, airflow, etl, hadoop.","Cloud Engineer skilled in cloud computing, aws, terraform, azure.",0.650981
"QA Engineer skilled in test planning, automation testing, selenium, python.","QA Engineer skilled in python, automation testing, test planning, selenium.",0.89473
"Data Engineer skilled in spark, hadoop, etl, airflow.","Network Engineer skilled in tcp/ip, routing, switching, firewalls.",0.718296
"Network Engineer skilled in switching, routing, firewalls, tcp/ip.","Product Manager skilled in data analysis, scrum, agile, roadmap planning.",0.567632
